run,init_q25,init_med,init_q75,final_q25,final_med,final_q75,landing_value,landing_i,landing_j
1,3.6421138084935527,4.983053418446913,6.284686695214669,1.035777239078059,4.744079502720934,8.353901152223388,16.287010530683858,27,52
2,3.6851198007150656,4.859747239248362,5.99951237635992,1.0513720782977711,4.7706065039616785,8.344433039889106,12.389654994150773,5,49
3,3.8469123039384856,4.880451838614416,6.002137573510289,1.4840295279249178,4.934932781291408,8.488952469420912,22.52934885733559,14,47
4,3.929679437826082,5.067455168668777,6.2163250715821565,1.6376206195026346,5.002573334971796,8.5667355533825,15.417878780534469,22,21
5,3.4972568007661318,5.032077974021021,6.520291274875989,1.3851035586643912,5.016190227957412,8.605858935516858,17.169556742476598,37,38
6,4.062966643233331,5.170855502641288,6.3297462329249345,1.5987114746301216,4.95002037076858,8.539804135016952,15.914516661284273,16,49
7,4.158427846471333,5.094487590306324,6.0503360648541555,1.5647763163512327,5.208605506741287,8.817341465899121,18.658748524662848,48,36
8,3.9039754609241126,4.936702220437748,6.024338848543327,1.3791850530171463,4.957972027341299,8.509777322505968,13.45907464565025,15,41
9,3.7585312309591714,4.826489399659634,5.9101763309801445,1.226830466005493,4.681657968474983,8.26003684006422,14.613157653844132,8,36
10,3.998489462004482,5.067104734424175,6.155359871011455,1.4297453780508,5.085572073355113,8.632884420818758,15.565733460116117,23,24
11,3.516890841847217,4.5918776133808485,5.684382574589465,0.8792847662757661,4.581968324052529,8.006075817279948,19.55278808112137,18,12
12,3.812413825913523,5.029680356331873,6.277163005488328,1.425342734780929,5.19795407491223,8.739109409302763,15.384593788547953,18,58
13,3.76979271552804,4.883115888614853,6.034145999647413,1.34548274655065,4.95095325724925,8.481509880301871,11.505268420626585,9,39
14,4.057605689075862,5.143699855689784,6.24877947927873,1.6622911254276618,5.076951155645752,8.575078655454838,16.448877836585034,14,50
15,3.759127553257337,4.999956462106365,6.261916639033458,1.442669191553207,5.051906356370337,8.705677499868896,13.453978914466731,11,53
16,3.6448811444424694,4.992326986893778,6.366149874853799,1.332250282636402,5.197742447295537,8.604616296619973,8.085258588837611,36,39
17,3.816231866909937,4.938425174552226,6.181507103410324,1.594127994004381,5.003161379160208,8.665738503931008,15.754292125736043,8,44
18,4.089423335491352,5.159278197768881,6.237889665236509,1.7338493112461468,5.169000720454791,8.699602701814499,14.735226214869297,25,20
19,3.647613839078044,4.822990935467446,5.95411708414902,1.2526327159866282,4.747882050248093,8.357951424413262,13.125772676600159,15,51
20,4.011677498756224,5.16860331003315,6.298552708502945,1.6722354998275175,5.103847162845609,8.574985994980562,13.901952857865604,20,28
21,3.8268647225328905,5.088846070726666,6.3131912391523635,1.3508033437726192,5.082452493237437,8.60872690650907,15.345008928487683,30,37
22,3.8104477219855433,4.911724307514967,6.079531269810138,1.3910854481228063,4.910629725405572,8.600050223975405,17.799416122674337,34,46
23,3.5561774033198423,4.650792834907964,5.777966090621566,1.120826885681965,4.707000143650868,8.333112273140445,11.664305655094303,47,37
24,3.966835425880424,5.089226239723169,6.230765368711815,1.4132720822188019,5.100835869800555,8.741106638662878,13.660073867497978,22,45
25,3.9270602142387863,5.076814626176626,6.256116577090225,1.4402652453526799,5.137477856632119,8.63889467641603,19.195850577886524,37,28
26,3.8933587535621674,5.042774767896673,6.221399151600675,1.4424419832739608,5.131885049928092,8.730420296116229,20.254504216713347,25,35
27,3.819935953886275,5.039009934446901,6.285950019155719,1.4516703631159291,5.117184247014714,8.794263651198628,14.346167832752318,8,26
28,3.692385015766315,4.79652889043852,5.9346530067976815,1.2332334104366192,4.851725854762015,8.424813551927098,19.189408797189593,40,41
29,3.9339510835538363,5.108743721702413,6.237715611804912,1.456667693517721,5.13475749311211,8.686210740499357,15.54098973512211,19,24
30,3.6725565606326875,4.862983300821003,6.052406456488039,1.261429596629276,4.840557215203436,8.527275184634124,14.91885181935399,18,32
31,3.928558420287998,5.0496399602597,6.18178011702696,1.5896212494239697,4.863809467984119,8.427644148049037,16.122131793436626,32,25
32,3.7124461434534206,4.955769098958032,6.233065518961917,1.2645384774340322,5.019373167733778,8.571029931377325,17.077841274212986,24,46
33,4.0077331435819765,5.315789954855695,6.5970258451429435,1.732616504461291,5.275062066417836,8.91758777352577,15.144451900036987,3,44
34,3.697133008300576,5.215594748705908,6.684132423645392,1.6383419761169509,5.353109641222526,9.09050446369422,15.316075256374315,34,48
35,3.9420237877478845,5.138272566677413,6.292013176180443,1.6275482909821841,5.147328900397836,8.662718131253868,12.090864339311974,21,40
36,3.9418561509714523,5.101404090527598,6.335864329550799,1.4879429464936058,5.2743519918388895,8.97312208665748,22.317090010745417,19,19
37,4.087161600869245,5.182842891564883,6.264939181291665,1.7023755145705761,5.139185267460326,8.752084982194262,16.060599411952737,22,55
38,4.009345429486755,5.109476778912384,6.220119025947994,1.557543760369875,5.142652329882983,8.728792978979994,16.80011609762939,27,21
39,3.774032531999567,4.930754605879551,5.999888040105137,1.2173091477511855,4.696335211467103,8.210858372965433,13.059811665534356,15,13
40,4.122344325689293,5.141361134757608,6.220571145454937,1.6929000767584368,5.253812633114272,8.8078002109326,22.3915887154658,32,31
41,3.5936653335042297,4.8562822879799015,6.0857889386386095,1.1018202906315844,4.705317192134462,8.256684103048316,15.96207053624657,17,32
