run,init_q25,init_med,init_q75,final_q25,final_med,final_q75,landing_value,landing_i,landing_j
1,0,0,0,0,0,0,11.705770264314221,0,0
2,0,0,0,0,0,0,14.471582617415766,0,0
3,0,0,0,0,0,0,13.704081344054273,0,0
4,0,0,0,0,0,0,12.889459990908215,0,0
5,0,0,0,0,0,0,12.094153706905585,0,0
6,0,0,0,0,0,0,13.307411202941466,0,0
7,0,0,0,0,0,0,11.400566374683006,0,0
8,0,0,0,0,0,0,11.421822142822931,0,0
9,0,0,0,0,0,0,11.845263061537652,0,0
10,0,0,0,0,0,0,12.023022680370389,0,0
11,0,0,0,0,0,0,12.98206591333642,0,0
12,0,0,0,0,0,0,11.50111603116482,0,0
13,0,0,0,0,0,0,10.288896985115388,0,0
14,0,0,0,0,0,0,12.481895561543782,0,0
15,0,0,0,0,0,0,11.945905418008543,0,0
16,0,0,0,0,0,0,10.020763191339876,0,0
17,0,0,0,0,0,0,12.56840928740485,0,0
18,0,0,0,0,0,0,12.47265413550571,0,0
19,0,0,0,0,0,0,11.013082322032066,0,0
20,0,0,0,0,0,0,11.188925804844445,0,0
21,0,0,0,0,0,0,11.552523273717185,0,0
22,0,0,0,0,0,0,12.605639026799919,0,0
23,0,0,0,0,0,0,11.793111975098315,0,0
24,0,0,0,0,0,0,11.018832038206964,0,0
25,0,0,0,0,0,0,13.015373995980504,0,0
26,0,0,0,0,0,0,13.021640370238362,0,0
27,0,0,0,0,0,0,12.489426657210156,0,0
28,0,0,0,0,0,0,10.782714155310261,0,0
29,0,0,0,0,0,0,12.96038688133737,0,0
30,0,0,0,0,0,0,10.940428983529436,0,0
31,0,0,0,0,0,0,9.818517899012797,0,0
32,0,0,0,0,0,0,12.676826483044678,0,0
33,0,0,0,0,0,0,13.626178955986425,0,0
34,0,0,0,0,0,0,12.050653456920124,0,0
35,0,0,0,0,0,0,10.253148601936218,0,0
36,0,0,0,0,0,0,12.157174897056567,0,0
37,0,0,0,0,0,0,12.369289652308888,0,0
38,0,0,0,0,0,0,11.811167110952436,0,0
