run,init_q25,init_med,init_q75,final_q25,final_med,final_q75,landing_value,landing_i,landing_j
1,0,0,0,0,0,0,22.712409121103637,0,0
2,0,0,0,0,0,0,24.218060179018128,0,0
3,0,0,0,0,0,0,22.52934885733559,0,0
4,0,0,0,0,0,0,21.022233374972632,0,0
5,0,0,0,0,0,0,29.17014813467606,0,0
6,0,0,0,0,0,0,22.943864725170442,0,0
7,0,0,0,0,0,0,21.10418092336112,0,0
8,0,0,0,0,0,0,24.739211645277752,0,0
9,0,0,0,0,0,0,24.83082815841748,0,0
10,0,0,0,0,0,0,20.5925249184883,0,0
11,0,0,0,0,0,0,16.05061454300492,0,0
12,0,0,0,0,0,0,21.750956846444378,0,0
13,0,0,0,0,0,0,22.530602149614573,0,0
14,0,0,0,0,0,0,21.181627216449968,0,0
15,0,0,0,0,0,0,22.187425353269155,0,0
16,0,0,0,0,0,0,22.84243702448089,0,0
17,0,0,0,0,0,0,21.24844846724578,0,0
18,0,0,0,0,0,0,21.415899817664847,0,0
19,0,0,0,0,0,0,22.503456079238294,0,0
20,0,0,0,0,0,0,20.164395642688348,0,0
21,0,0,0,0,0,0,23.095688232367188,0,0
22,0,0,0,0,0,0,20.81411950252981,0,0
23,0,0,0,0,0,0,20.374647184776038,0,0
24,0,0,0,0,0,0,22.551481478853496,0,0
25,0,0,0,0,0,0,21.553417868463438,0,0
26,0,0,0,0,0,0,21.89105992038342,0,0
27,0,0,0,0,0,0,22.402194831702516,0,0
28,0,0,0,0,0,0,23.45501713227991,0,0
29,0,0,0,0,0,0,23.0894070619697,0,0
30,0,0,0,0,0,0,20.558835241527262,0,0
31,0,0,0,0,0,0,24.382673692763497,0,0
32,0,0,0,0,0,0,29.187458566327177,0,0
33,0,0,0,0,0,0,22.240648569362293,0,0
34,0,0,0,0,0,0,22.817335193022622,0,0
35,0,0,0,0,0,0,20.80230483696503,0,0
36,0,0,0,0,0,0,24.76481709472882,0,0
