run,init_q25,init_med,init_q75,final_q25,final_med,final_q75,landing_value,landing_i,landing_j
1,0,0,0,0,0,0,15.041070172986663,0,0
2,0,0,0,0,0,0,12.402480021821521,0,0
3,0,0,0,0,0,0,22.52934885733559,0,0
4,0,0,0,0,0,0,15.417878780534469,0,0
5,0,0,0,0,0,0,15.270957172560435,0,0
6,0,0,0,0,0,0,15.914516661284273,0,0
7,0,0,0,0,0,0,8.172229813091045,0,0
8,0,0,0,0,0,0,7.140839697292415,0,0
9,0,0,0,0,0,0,14.613157653844132,0,0
10,0,0,0,0,0,0,15.565733460116117,0,0
11,0,0,0,0,0,0,10.044551575788901,0,0
12,0,0,0,0,0,0,15.384593788547953,0,0
13,0,0,0,0,0,0,11.505268420626585,0,0
14,0,0,0,0,0,0,16.448877836585034,0,0
15,0,0,0,0,0,0,11.446585456338093,0,0
16,0,0,0,0,0,0,8.907558823695972,0,0
17,0,0,0,0,0,0,15.754292125736043,0,0
18,0,0,0,0,0,0,14.735226214869297,0,0
19,0,0,0,0,0,0,13.125772676600159,0,0
20,0,0,0,0,0,0,10.820171082391642,0,0
21,0,0,0,0,0,0,15.345008928487683,0,0
22,0,0,0,0,0,0,17.799416122674337,0,0
23,0,0,0,0,0,0,10.025662202547824,0,0
24,0,0,0,0,0,0,13.660073867497978,0,0
25,0,0,0,0,0,0,11.41665524838927,0,0
26,0,0,0,0,0,0,12.323331270069481,0,0
27,0,0,0,0,0,0,14.346167832752318,0,0
28,0,0,0,0,0,0,19.189408797189593,0,0
29,0,0,0,0,0,0,16.46965540377956,0,0
30,0,0,0,0,0,0,14.91885181935399,0,0
31,0,0,0,0,0,0,7.898661815594004,0,0
32,0,0,0,0,0,0,11.376501689984217,0,0
33,0,0,0,0,0,0,15.144451900036987,0,0
34,0,0,0,0,0,0,15.316075256374315,0,0
35,0,0,0,0,0,0,9.594505377407906,0,0
36,0,0,0,0,0,0,22.317090010745417,0,0
37,0,0,0,0,0,0,14.398686443807236,0,0
38,0,0,0,0,0,0,14.512188522456395,0,0
39,0,0,0,0,0,0,13.059811665534356,0,0
40,0,0,0,0,0,0,11.538267550993618,0,0
41,0,0,0,0,0,0,9.394719187120636,0,0
42,0,0,0,0,0,0,13.62842329909729,0,0
43,0,0,0,0,0,0,17.08973945880585,0,0
44,0,0,0,0,0,0,19.516928401885117,0,0
45,0,0,0,0,0,0,18.409520578825735,0,0
46,0,0,0,0,0,0,21.954695502847393,0,0
47,0,0,0,0,0,0,10.199485731151512,0,0
48,0,0,0,0,0,0,22.042498431600553,0,0
49,0,0,0,0,0,0,20.097765245042126,0,0
50,0,0,0,0,0,0,13.34114222550566,0,0
51,0,0,0,0,0,0,12.392894926111483,0,0
52,0,0,0,0,0,0,24.646741238131085,0,0
53,0,0,0,0,0,0,10.36639158177057,0,0
54,0,0,0,0,0,0,15.421823855181138,0,0
55,0,0,0,0,0,0,15.062986325273133,0,0
56,0,0,0,0,0,0,18.584258214237867,0,0
57,0,0,0,0,0,0,22.43256716657504,0,0
58,0,0,0,0,0,0,13.535031384752884,0,0
59,0,0,0,0,0,0,16.49010353691761,0,0
60,0,0,0,0,0,0,16.491590393786936,0,0
61,0,0,0,0,0,0,10.73066498496191,0,0
62,0,0,0,0,0,0,17.9453700650543,0,0
63,0,0,0,0,0,0,17.56429472403799,0,0
64,0,0,0,0,0,0,17.778022694744024,0,0
65,0,0,0,0,0,0,11.582800888264334,0,0
66,0,0,0,0,0,0,16.451424465165523,0,0
67,0,0,0,0,0,0,14.003415952328826,0,0
68,0,0,0,0,0,0,12.465244065809376,0,0
69,0,0,0,0,0,0,11.36043304918089,0,0
70,0,0,0,0,0,0,7.000349978249941,0,0
71,0,0,0,0,0,0,13.64839205386248,0,0
72,0,0,0,0,0,0,15.013473395039533,0,0
73,0,0,0,0,0,0,18.520194133925905,0,0
74,0,0,0,0,0,0,14.099824074434444,0,0
75,0,0,0,0,0,0,15.747981500286421,0,0
76,0,0,0,0,0,0,9.83667694043554,0,0
77,0,0,0,0,0,0,12.9133034325802,0,0
78,0,0,0,0,0,0,13.41107081951186,0,0
79,0,0,0,0,0,0,11.030584910505585,0,0
80,0,0,0,0,0,0,19.855632200017894,0,0
81,0,0,0,0,0,0,13.572216183725395,0,0
82,0,0,0,0,0,0,14.596056546640572,0,0
83,0,0,0,0,0,0,11.704116196887199,0,0
84,0,0,0,0,0,0,14.110879844840074,0,0
85,0,0,0,0,0,0,12.037456949339221,0,0
86,0,0,0,0,0,0,6.070851588225439,0,0
87,0,0,0,0,0,0,13.111394075245178,0,0
88,0,0,0,0,0,0,11.330125919095215,0,0
89,0,0,0,0,0,0,16.054694741721327,0,0
90,0,0,0,0,0,0,12.927208234979851,0,0
91,0,0,0,0,0,0,13.383540713170433,0,0
92,0,0,0,0,0,0,13.594881081278647,0,0
93,0,0,0,0,0,0,14.752600596421889,0,0
94,0,0,0,0,0,0,11.656369074034252,0,0
95,0,0,0,0,0,0,16.97164143857259,0,0
96,0,0,0,0,0,0,11.474618666834717,0,0
97,0,0,0,0,0,0,10.521329994076808,0,0
98,0,0,0,0,0,0,15.24483037317562,0,0
99,0,0,0,0,0,0,10.727468922208464,0,0
100,0,0,0,0,0,0,10.726822729911222,0,0
101,0,0,0,0,0,0,13.429220572749896,0,0
102,0,0,0,0,0,0,13.854263861544958,0,0
103,0,0,0,0,0,0,15.6264893278893,0,0
104,0,0,0,0,0,0,13.621691140082753,0,0
105,0,0,0,0,0,0,13.936025984357382,0,0
106,0,0,0,0,0,0,12.506186568955297,0,0
107,0,0,0,0,0,0,14.738209436867535,0,0
108,0,0,0,0,0,0,13.32470101135134,0,0
109,0,0,0,0,0,0,19.020263366989155,0,0
110,0,0,0,0,0,0,11.940539108929444,0,0
111,0,0,0,0,0,0,11.783585698183622,0,0
112,0,0,0,0,0,0,13.21708460413171,0,0
113,0,0,0,0,0,0,11.318893101772804,0,0
114,0,0,0,0,0,0,8.267347101183496,0,0
115,0,0,0,0,0,0,13.283035336006147,0,0
116,0,0,0,0,0,0,12.379619813761284,0,0
117,0,0,0,0,0,0,14.140290197511877,0,0
118,0,0,0,0,0,0,11.121462579069837,0,0
119,0,0,0,0,0,0,14.196813062539245,0,0
120,0,0,0,0,0,0,18.9330850495695,0,0
121,0,0,0,0,0,0,13.89501582091901,0,0
122,0,0,0,0,0,0,15.296466735999525,0,0
123,0,0,0,0,0,0,13.729141016382576,0,0
124,0,0,0,0,0,0,15.670815283519914,0,0
125,0,0,0,0,0,0,13.666763757013358,0,0
126,0,0,0,0,0,0,11.736963253351533,0,0
127,0,0,0,0,0,0,13.445910846201723,0,0
128,0,0,0,0,0,0,10.874553162742043,0,0
129,0,0,0,0,0,0,16.920849025953544,0,0
130,0,0,0,0,0,0,18.001277481652828,0,0
131,0,0,0,0,0,0,13.536672516499088,0,0
132,0,0,0,0,0,0,14.467475198283871,0,0
133,0,0,0,0,0,0,13.287296367730873,0,0
134,0,0,0,0,0,0,13.0348286979464,0,0
135,0,0,0,0,0,0,12.928590403920161,0,0
136,0,0,0,0,0,0,15.37362890141013,0,0
137,0,0,0,0,0,0,16.419909045463335,0,0
138,0,0,0,0,0,0,14.517962109907561,0,0
139,0,0,0,0,0,0,13.836525563489362,0,0
140,0,0,0,0,0,0,14.43991649395926,0,0
141,0,0,0,0,0,0,14.152719040016965,0,0
142,0,0,0,0,0,0,27.59586896256957,0,0
143,0,0,0,0,0,0,19.94107847157403,0,0
144,0,0,0,0,0,0,15.142273098558253,0,0
145,0,0,0,0,0,0,18.856733902221897,0,0
146,0,0,0,0,0,0,9.660677798245732,0,0
147,0,0,0,0,0,0,14.45693980053128,0,0
148,0,0,0,0,0,0,15.371176495836782,0,0
149,0,0,0,0,0,0,21.842178555898762,0,0
150,0,0,0,0,0,0,19.730843496826513,0,0
151,0,0,0,0,0,0,9.361523347377451,0,0
152,0,0,0,0,0,0,11.136089817486106,0,0
153,0,0,0,0,0,0,17.440645810056758,0,0
154,0,0,0,0,0,0,9.203395091505385,0,0
155,0,0,0,0,0,0,17.907122779279163,0,0
156,0,0,0,0,0,0,11.40395096070825,0,0
157,0,0,0,0,0,0,16.823061903985014,0,0
